"id","location","number","id_city"
383,ALGUMA RUA,"1070",4720
377,ALGUMA RUA,S/N,443
378,ALGUMA RUA,S/N,3706
372,ALGUMA RUA,s/n,259
373,ALGUMA RUA,S/N,5324
388,ALGUMA RUA,s/n,5253
389,ALGUMA RUA,s/n,237
397,ALGUMA RUA,s/n,5336
398,ALGUMA RUA,s/n,237
403,ALGUMA RUA,"1460",3848
404,ALGUMA RUA,S/N,5537
405,ALGUMA RUA,,2310
386,ALGUMA RUA,"463",3827
406,ALGUMA RUA,,3358
407,ALGUMA RUA,"1460",3848
409,ALGUMA RUA,s/n,5335
410,ALGUMA RUA,s/n,237
449,ALGUMA RUA,"451",3203
412,ALGUMA RUA,s/n,5482
413,ALGUMA RUA,s/n,2310
414,ALGUMA RUA,,5482
415,ALGUMA RUA,s/n,2310
416,ALGUMA RUA,s/n,5385
417,ALGUMA RUA,s/n,2310
418,ALGUMA RUA,s/n,5253
419,ALGUMA RUA,s/n,237
420,ALGUMA RUA,"1460",3848
421,ALGUMA RUA,,5537
422,ALGUMA RUA,s/n,5263
423,ALGUMA RUA,s/n,237
424,ALGUMA RUA,s/n,5276
425,ALGUMA RUA,s/n,237
426,ALGUMA RUA,s/n,5261
427,ALGUMA RUA,s/n,237
428,ALGUMA RUA,s/n,5261
429,ALGUMA RUA,s/n,237
430,ALGUMA RUA,s/n,5261
431,ALGUMA RUA,s/n,237
432,ALGUMA RUA,s/n,5276
433,ALGUMA RUA,s/n,237
434,ALGUMA RUA,s/n,5261
435,ALGUMA RUA,s/n,237
440,ALGUMA RUA,s/n,5337
441,ALGUMA RUA,s/n,237
442,ALGUMA RUA,s/n,5336
443,ALGUMA RUA,s/n,237
445,ALGUMA RUA,s/n,5449
446,ALGUMA RUA,s/n,2310
447,ALGUMA RUA,s/n,5449
448,ALGUMA RUA,s/n,2310
450,ALGUMA RUA,s/n,5299
451,ALGUMA RUA,s/n,237
411,ALGUMA RUA,"1200",3494
390,ALGUMA RUA,s/n,5181
391,ALGUMA RUA,S/N,5549
392,ALGUMA RUA,S/N,3599
394,ALGUMA RUA,S/N,4357
395,ALGUMA RUA,"717",2090
396,ALGUMA RUA,S/N,237
125,ALGUMA RUA,"11640",5151
369,ALGUMA RUA,"22031",3095
371,ALGUMA RUA,SN,5549
375,ALGUMA RUA,"7784",50
163,ALGUMA RUA,S/N,1684
436,ALGUMA RUA,"365",5410
408,ALGUMA RUA,SN,237
196,ALGUMA RUA,"25",2931
651,ALGUMA RUA,s/n,2866
247,ALGUMA RUA,"218",292
374,ALGUMA RUA,S/N,5324
379,ALGUMA RUA,SN,446
381,ALGUMA RUA,"22",562
382,ALGUMA RUA,"1000",5175
384,ALGUMA RUA,S/N,4274
385,ALGUMA RUA,"00",245
444,ALGUMA RUA,SN,3342
354,ALGUMA RUA,"1680",5410
355,ALGUMA RUA,"2045",5549
387,ALGUMA RUA,"1139",3096
437,ALGUMA RUA,s/n,5181
438,ALGUMA RUA,S/N,5324
439,ALGUMA RUA,"166",3519
368,ALGUMA RUA,"148",3858
376,ALGUMA RUA,"310",1625
393,ALGUMA RUA,"32",2333
400,ALGUMA RUA,S/N,3858
401,ALGUMA RUA,"110",4473
453,ALGUMA RUA,s/n,5276
454,ALGUMA RUA,s/n,237
461,ALGUMA RUA,"3122",5336
462,ALGUMA RUA,,3583
463,ALGUMA RUA,"1460",3848
473,ALGUMA RUA,s/n,5541
474,ALGUMA RUA,s/n,2310
476,ALGUMA RUA,,5337
477,ALGUMA RUA,s/n,237
478,ALGUMA RUA,"1460",3848
479,ALGUMA RUA,,3095
